,Metric,TCF3,SIN3A,PAX5,BATF,BCL3,RUNX3,MEF2A,ZEB1,MXI1,NFYB,IKZF1,YY1,SPI1,RELA,NFATC1,USF1,ELF1,MAX,BHLHE40,EBF1,ZNF143,USF2,NFIC,TCF12,REST,EGR1
0,Accuracy,0.4625,0.495,0.5175,0.515,0.5125,0.5,0.505,0.465,0.5275,0.515,0.4975,0.555,0.515,0.52,0.4925,0.5025,0.505,0.55,0.4975,0.5775,0.4875,0.4975,0.525,0.505,0.56,
1,Sensitivity,0.43523316062176165,0.45664739884393063,0.48947368421052634,0.49029126213592233,0.42473118279569894,0.5,0.45726495726495725,0.4175257731958763,0.547486033519553,0.3404255319148936,0.4551282051282051,0.49032258064516127,0.5238095238095238,0.44155844155844154,0.472636815920398,0.4689655172413793,0.4318181818181818,0.5138121546961326,0.5668789808917197,0.4967741935483871,0.47770700636942676,0.436046511627907,0.5431472081218274,0.45077720207253885,0.2887323943661972,
2,Specificity,0.48792270531400966,0.5242290748898678,0.5428571428571428,0.5412371134020618,0.5887850467289719,0.5,0.572289156626506,0.5097087378640777,0.5113122171945701,0.61003861003861,0.5245901639344263,0.5959183673469388,0.5071090047393365,0.5691056910569106,0.5125628140703518,0.5215686274509804,0.5944444444444444,0.5799086757990868,0.45267489711934156,0.6285714285714286,0.49382716049382713,0.543859649122807,0.5073891625615764,0.5555555555555556,0.7093023255813954,
3,F1_score,0.4386422976501306,0.4388888888888889,0.49076517150395776,0.51010101010101,0.4475920679886686,0.4845360824742268,0.5194174757281553,0.4308510638297872,0.509090909090909,0.3310344827586207,0.4139941690962099,0.46060606060606063,0.5051020408163265,0.4146341463414634,0.48346055979643765,0.4059701492537313,0.4896907216494845,0.5081967213114754,0.46965699208443273,0.47678018575851394,0.4225352112676056,0.42735042735042733,0.5297029702970297,0.46774193548387094,0.3178294573643411,
4,ROC-AUC,0.46157793296788563,0.4904382368668993,0.5161654135338346,0.5157641877689921,0.5067581147623355,0.5,0.5147770569457316,0.463617255529977,0.5293991253570616,0.4752320709767518,0.4898591845313157,0.54312047399605,0.5154592642744301,0.505332066307676,0.49259981499537486,0.4952670723461798,0.5131313131313131,0.5468604152476096,0.5097769390055307,0.5626728110599079,0.485767083431627,0.48995308037535695,0.5252681853417018,0.5031663788140472,0.49901735997379626,
