,Metric,RUNX3,BATF,MXI1,NFYB,BCL3,ZEB1,PAX5,MEF2A,TCF3,SIN3A,SPI1,USF1,MAX,NFATC1,ELF1,YY1,EBF1,BHLHE40,IKZF1,RELA,NFIC,EGR1,USF2,ZNF143,TCF12,REST
0,Accuracy,0.6,0.525,0.5725,0.5475,0.6525,0.475,0.465,0.64,0.54,0.6175,0.575,0.54,0.71,0.5425,0.655,0.5,0.5575,0.58,0.6575,0.6575,0.6575,0.675,0.5975,0.6225,0.5575,
1,Sensitivity,0.5319148936170213,0.6553398058252428,0.7039106145251397,0.5886524822695035,0.6182795698924731,0.6185567010309279,0.6052631578947368,0.7264957264957265,0.5803108808290155,0.6416184971098265,0.544973544973545,0.6137931034482759,0.6519337016574586,0.5621890547263682,0.8045454545454546,0.8580645161290322,0.5419354838709678,0.6496815286624203,0.7307692307692307,0.7142857142857143,0.6345177664974619,0.73,0.5581395348837209,0.6369426751592356,0.6580310880829016,
2,Specificity,0.660377358490566,0.3865979381443299,0.4660633484162896,0.525096525096525,0.6822429906542056,0.33980582524271846,0.3380952380952381,0.5180722891566265,0.5024154589371981,0.5991189427312775,0.6018957345971564,0.4980392156862745,0.7579908675799086,0.5226130653266332,0.4722222222222222,0.27346938775510204,0.5673469387755102,0.5349794238683128,0.610655737704918,0.6219512195121951,0.6798029556650246,0.62,0.6271929824561403,0.6131687242798354,0.463768115942029,
3,F1_score,0.5555555555555556,0.5869565217391305,0.5957446808510638,0.4783861671469741,0.6233062330623306,0.5333333333333333,0.5180180180180181,0.7024793388429752,0.5490196078431373,0.592,0.5478723404255319,0.49171270718232046,0.6704545454545454,0.5525672371638142,0.7195121951219512,0.5708154506437768,0.48695652173913045,0.5483870967741935,0.6246575342465753,0.6162464985994398,0.6459948320413437,0.6919431279620853,0.5439093484419264,0.5698005698005698,0.5893271461716937,
4,ROC-AUC,0.5961461260537937,0.5209688719847863,0.5849869814707146,0.5568745036830144,0.6502612802733393,0.4791812631368232,0.4716791979949875,0.6222840078261765,0.5413631698831067,0.620368719920552,0.5734346397853507,0.5559161595672752,0.7049622846186836,0.5424010600265007,0.6383838383838384,0.5657669519420672,0.554641211323239,0.5923304762653665,0.6707124842370743,0.6681184668989548,0.6571603610812433,0.675,0.5926662586699307,0.6250556997195355,0.5608996020124652,
