TF Name	Accuracy	Sensitivity	Specificity	F1 Score
MEF2A	0.6625	0.6590909090909091	0.664179104477612	0.5631067961165048
IKZF1	0.4975	0.42	0.544	0.3853211009174312
BCL3	0.515	0.478494623655914	0.5467289719626168	0.478494623655914
BATF	0.55	0.45977011494252873	0.5750798722044729	0.3076923076923077
EBF1	0.5225	0.3333333333333333	0.584717607973422	0.25680933852140075
ELF1	0.495	0.4533333333333333	0.62	0.5738396624472574
MAX	0.5275	0.5166666666666667	0.5363636363636364	0.496
BHLHE40	0.515	0.503030303030303	0.5234042553191489	0.46111111111111114
MXI1	0.485	0.411214953271028	0.5119453924914675	0.29931972789115646
EGR1	0.5475	0.4090909090909091	0.5748502994011976	0.2297872340425532
REST	0.44	0.40540540540540543	0.44352617079889806	0.11811023622047244
RELA	0.5425	0.5087719298245614	0.5481049562682215	0.24066390041493776
TCF12	0.5275	0.5781990521327014	0.4708994708994709	0.5635103926096998
RUNX3	0.5075	0.4166666666666667	0.541095890410959	0.313588850174216
SIN3A	0.5325	0.4027777777777778	0.5609756097560976	0.23673469387755103
NFYB	0.5375	0.42857142857142855	0.5527065527065527	0.18502202643171806
NFIC	0.5075	0.4316546762589928	0.5478927203065134	0.3785488958990536
PAX5	0.4975	0.525	0.43333333333333335	0.593939393939394
NFATC1	0.5225	0.37755102040816324	0.5695364238410596	0.2792452830188679
SPI1	0.5175	0.4182692307692308	0.625	0.47411444141689374
USF2	0.4775	0.4129353233830846	0.542713567839196	0.44266666666666665
ZEB1	0.535	0.48148148148148145	0.5622641509433962	0.41139240506329117
USF1	0.535	0.5172413793103449	0.5399361022364217	0.32608695652173914
TCF3	0.495	0.42134831460674155	0.5540540540540541	0.42613636363636365
ZNF143	0.4075	0.5423728813559322	0.3841642228739003	0.21262458471760798
YY1	0.495	0.45864661654135336	0.5131086142322098	0.3765432098765432
