TF-Pair	Correlation	P-Value		
NFATC1:ZNF143	-0.02094889	0.676157373	A	0.02094889
BHLHE40:NFIC	0.02107953	0.674253211	A	0.02107953
BATF:ELF1	-0.021382832	0.669840414	A	0.021382832
RUNX3:NFYB	-0.021510268	0.6679897	A	0.021510268
EBF1:MXI1	-0.021541919	0.667530344	A	0.021541919
MAX:BHLHE40	-0.021792865	0.663892796	A	0.021792865
BCL3:PAX5	-0.021894957	0.662415195	A	0.021894957
IKZF1:BATF	-0.021958671	0.661493697	A	0.021958671
EBF1:ZNF143	-0.022472828	0.654076283	A	0.022472828
ZEB1:TCF3	0.022920273	0.64764882	A	0.022920273
RELA:TCF3	0.023110684	0.644921486	A	0.023110684
BCL3:ZEB1	0.023344871	0.641573644	A	0.023344871
BATF:EGR1	-0.023511039	0.639202572	A	0.023511039
ZEB1:YY1	0.023544557	0.638724732	A	0.023544557
SIN3A:TCF3	-0.02374199	0.635913183	A	0.02374199
TCF12:SIN3A	0.023873195	0.634047645	A	0.023873195
NFYB:USF1	0.02420598	0.629326325	A	0.02420598
EBF1:SPI1	0.024487344	0.625346251	A	0.024487344
SPI1:TCF3	0.024659399	0.622917767	A	0.024659399
EGR1:YY1	0.024731284	0.621904359	A	0.024731284
BHLHE40:REST	0.024809376	0.620804241	A	0.024809376
BATF:TCF3	0.025062972	0.617237553	A	0.025062972
REST:NFIC	0.025263069	0.614429635	A	0.025263069
USF2:ZEB1	0.025390479	0.612644651	A	0.025390479
ELF1:YY1	-0.025472022	0.611503442	A	0.025472022
MEF2A:IKZF1	0.025529807	0.610695302	A	0.025529807
RUNX3:USF2	-0.025554421	0.610351217	A	0.025554421
USF1:ZNF143	0.025566041	0.610188792	A	0.025566041
NFYB:NFATC1	0.025638692	0.609173794	A	0.025638692
EBF1:REST	0.025816081	0.606698665	A	0.025816081
EBF1:EGR1	0.025976153	0.604468996	A	0.025976153
USF2:YY1	0.026456438	0.597801149	A	0.026456438
REST:USF1	-0.026858216	0.592248935	A	0.026858216
TCF12:YY1	0.027472223	0.583809744	A	0.027472223
MXI1:ZEB1	-0.028066795	0.575691268	A	0.028066795
ELF1:ZEB1	0.028214407	0.573683991	A	0.028214407
SPI1:YY1	-0.028235988	0.573390796	A	0.028235988
EGR1:USF2	0.028546752	0.569176769	A	0.028546752
BCL3:SIN3A	0.028595299	0.5685198	A	0.028595299
IKZF1:ZNF143	-0.028957518	0.563629415	A	0.028957518
IKZF1:TCF3	0.029241762	0.55980599	A	0.029241762
PAX5:USF1	0.029339861	0.558489347	A	0.029339861
RUNX3:USF1	0.029365798	0.558141486	A	0.029365798
EBF1:ELF1	0.029441998	0.557120106	A	0.029441998
BHLHE40:TCF3	-0.029958239	0.550224465	A	0.029958239
ELF1:NFYB	0.030018482	0.549422512	A	0.030018482
PAX5:ZNF143	-0.030356078	0.544939096	A	0.030356078
REST:RUNX3	-0.030400202	0.544354447	A	0.030400202
MXI1:RELA	-0.030444873	0.543762872	A	0.030444873
EGR1:ZNF143	-0.030559908	0.542240943	A	0.030559908
BCL3:TCF3	0.030567267	0.542143652	A	0.030567267
BHLHE40:YY1	-0.030957137	0.537001845	A	0.030957137
BATF:MAX	0.031089599	0.53526044	A	0.031089599
PAX5:USF2	0.031431113	0.53078387	A	0.031431113
MEF2A:REST	-0.031436	0.53071995	A	0.031436
MAX:MXI1	-0.031548064	0.52925524	A	0.031548064
MXI1:USF1	0.031549163	0.529240888	A	0.031549163
MEF2A:RUNX3	-0.031688932	0.52741696	A	0.031688932
EBF1:ZEB1	0.031861908	0.525164139	A	0.031861908
ZNF143:YY1	0.031935077	0.52421266	A	0.031935077
MEF2A:NFATC1	-0.032191777	0.52088158	A	0.032191777
REST:SPI1	-0.032271343	0.519851293	A	0.032271343
EGR1:TCF3	-0.03259062	0.515727607	A	0.03259062
EBF1:NFIC	-0.032927766	0.511391552	A	0.032927766
BCL3:MAX	0.032967958	0.5108759	A	0.032967958
NFYB:PAX5	-0.033211905	0.507751994	A	0.033211905
NFATC1:YY1	-0.033343294	0.506073617	A	0.033343294
BHLHE40:NFYB	0.033430554	0.504960555	A	0.033430554
REST:ZEB1	-0.033761736	0.500747841	A	0.033761736
IKZF1:NFIC	-0.033774407	0.500587023	A	0.033774407
MXI1:TCF12	0.033954621	0.498302873	A	0.033954621
REST:YY1	0.034042456	0.497191595	A	0.034042456
BHLHE40:TCF12	-0.03427336	0.494276511	A	0.03427336
BATF:SPI1	-0.034458183	0.491949757	A	0.034458183
EBF1:MAX	-0.035746332	0.475897028	A	0.035746332
ELF1:MAX	-0.036310256	0.468960582	A	0.036310256
MAX:TCF12	0.037226692	0.457807944	A	0.037226692
PAX5:YY1	-0.037479308	0.454760001	A	0.037479308
REST:NFYB	-0.037487384	0.454662741	A	0.037487384
TCF12:NFIC	0.037718348	0.451886363	A	0.037718348
BATF:RUNX3	0.037808083	0.450810253	A	0.037808083
MAX:NFIC	-0.038013301	0.448354708	A	0.038013301
NFYB:ZEB1	-0.038281401	0.445158179	A	0.038281401
BCL3:MXI1	-0.038866086	0.438232105	A	0.038866086
BATF:ZNF143	-0.039283786	0.433322152	A	0.039283786
