TF-Pair	Correlation	P-Value		
NFYB:MEF2A	-0.008240084	0.869503859	B	
YY1:SIN3A	-0.007791593	0.876548121	B	
TCF3:EBF1	-0.007513741	0.88091717	B	
TCF12:BCL3	-0.006816998	0.891888578	B	
USF1:EGR1	-0.006262158	0.90064037	B	
SPI1:RUNX3	-0.006038098	0.904178061	B	
ZEB1:SPI1	-0.005988797	0.904956738	B	
ZNF143:REST	-0.00550972	0.912528029	B	
RELA:MEF2A	-0.005042677	0.919916773	B	
NFATC1:BHLHE40	-0.004983145	0.92085909	B	
BCL3:MEF2A	-0.00490921	0.922029548	B	
PAX5:NFIC	-0.004474862	0.928908968	B	
PAX5:EBF1	-0.004301737	0.931652519	B	
NFATC1:BATF	-0.003725463	0.940790501	B	
USF1:EBF1	-0.003386001	0.946177072	B	
TCF12:BATF	-0.003186748	0.949339962	B	
SPI1:NFATC1	-0.002973877	0.952719903	B	
MXI1:BATF	-0.002776592	0.955853136	B	
TCF12:EBF1	-0.001142369	0.981829039	B	
RUNX3:EGR1	-0.000453941	0.992778913	B	
TCF3:NFATC1	-0.000264148	0.995798015	B	
EBF1:BATF	-0.000171704	0.997268579	B	
ZEB1:MEF2A	0.001198218	0.980940859	B	
TCF3:PAX5	0.001229584	0.980442036	B	
YY1:MEF2A	0.001553399	0.975292847	B	
USF2:NFYB	0.001580751	0.974857955	B	
SIN3A:RUNX3	0.001855386	0.97049168	B	
USF2:MAX	0.002115942	0.966350067	B	
PAX5:MEF2A	0.002572891	0.959088967	B	
YY1:NFIC	0.002863031	0.954480241	B	
TCF12:MEF2A	0.002884909	0.954132773	B	
RUNX3:ELF1	0.004114756	0.934616554	B	
TCF3:TCF12	0.00430164	0.931654056	B	
USF2:IKZF1	0.004692898	0.925454918	B	
NFIC:EGR1	0.004734638	0.924793833	B	
USF2:REST	0.00484903	0.92298238	B	
EBF1:MEF2A	0.00493206	0.921667799	B	
SPI1:BHLHE40	0.005590066	0.911257679	B	
NFYB:BATF	0.006669816	0.894208935	B	
BATF:MEF2A	0.007195115	0.885931783	B	
NFATC1:REST	0.007555492	0.880260424	B	
ZEB1:RELA	0.007709168	0.877843812	B	
YY1:USF1	0.008124798	0.871313641	B	
SPI1:NFYB	0.008499979	0.865426478	B	
BHLHE40:MEF2A	0.009112605	0.855829537	B	
ZNF143:TCF3	0.009570924	0.848663639	B	
SPI1:MAX	0.010119321	0.840105755	B	
NFIC:RUNX3	0.010331933	0.836792881	B	
EGR1:ELF1	0.010901411	0.827933748	B	
TCF3:MAX	0.011061901	0.825440972	B	
NFYB:MXI1	0.01139462	0.820278651	B	
YY1:TCF3	0.012156316	0.808490067	B	
SPI1:NFIC	0.012404469	0.804658642	B	
NFATC1:NFIC	0.012406006	0.804634925	B	
NFATC1:EGR1	0.012450197	0.803953121	B	
NFYB:BCL3	0.012806917	0.798454927	B	
NFATC1:TCF12	0.012855341	0.797709325	B	
TCF3:USF1	0.013328921	0.79042715	B	
MXI1:IKZF1	0.013867365	0.782169711	B	
TCF3:NFYB	0.015769865	0.753194618	B	
NFYB:TCF12	0.015947129	0.750511735	B	
PAX5:BATF	0.016475633	0.74253081	B	
NFYB:EBF1	0.016743977	0.738489028	B	
NFATC1:MAX	0.017361583	0.729214144	B	
YY1:RELA	0.017923888	0.720803887	B	
ZNF143:ELF1	0.018243504	0.716038354	B	
ZEB1:EGR1	0.018834833	0.707250651	B	
USF2:SIN3A	0.019919466	0.691233282	B	
TCF12:REST	0.020379886	0.684474908	B	
NFYB:RELA	0.020594484	0.681333433	B	
NFIC:BHLHE40	0.02107953	0.674253211	B	
TCF3:ZEB1	0.022920273	0.64764882	B	
TCF3:RELA	0.023110684	0.644921486	B	
ZEB1:BCL3	0.023344871	0.641573644	B	
YY1:ZEB1	0.023544557	0.638724732	B	
SIN3A:TCF12	0.023873195	0.634047645	B	
USF1:NFYB	0.02420598	0.629326325	B	
SPI1:EBF1	0.024487344	0.625346251	B	
TCF3:SPI1	0.024659399	0.622917767	B	
YY1:EGR1	0.024731284	0.621904359	B	
REST:BHLHE40	0.024809376	0.620804241	B	
TCF3:BATF	0.025062972	0.617237553	B	
NFIC:REST	0.025263069	0.614429635	B	
ZEB1:USF2	0.025390479	0.612644651	B	
IKZF1:MEF2A	0.025529807	0.610695302	B	
ZNF143:USF1	0.025566041	0.610188792	B	
NFATC1:NFYB	0.025638692	0.609173794	B	
REST:EBF1	0.025816081	0.606698665	B	
EGR1:EBF1	0.025976153	0.604468996	B	
YY1:USF2	0.026456438	0.597801149	B	
YY1:TCF12	0.027472223	0.583809744	B	
ZEB1:ELF1	0.028214407	0.573683991	B	
USF2:EGR1	0.028546752	0.569176769	B	
SIN3A:BCL3	0.028595299	0.5685198	B	
TCF3:IKZF1	0.029241762	0.55980599	B	
USF1:PAX5	0.029339861	0.558489347	B	
USF1:RUNX3	0.029365798	0.558141486	B	
ELF1:EBF1	0.029441998	0.557120106	B	
NFYB:ELF1	0.030018482	0.549422512	B	
TCF3:BCL3	0.030567267	0.542143652	B	
MAX:BATF	0.031089599	0.53526044	B	
USF2:PAX5	0.031431113	0.53078387	B	
USF1:MXI1	0.031549163	0.529240888	B	
ZEB1:EBF1	0.031861908	0.525164139	B	
YY1:ZNF143	0.031935077	0.52421266	B	
MAX:BCL3	0.032967958	0.5108759	B	
NFYB:BHLHE40	0.033430554	0.504960555	B	
TCF12:MXI1	0.033954621	0.498302873	B	
YY1:REST	0.034042456	0.497191595	B	
TCF12:MAX	0.037226692	0.457807944	B	
NFIC:TCF12	0.037718348	0.451886363	B	
RUNX3:BATF	0.037808083	0.450810253	B	
USF2:BATF	0.039307158	0.433048351	B	
TCF3:ELF1	0.039321265	0.432883148	B	
NFYB:EGR1	0.040142851	0.423324299	B	
REST:MAX	0.041366084	0.409322889	B	
SIN3A:ELF1	0.04217024	0.400269742	B	
PAX5:MAX	0.042426679	0.397408168	B	
ZNF143:NFIC	0.043886481	0.381353802	B	
RUNX3:BCL3	0.045256904	0.366649	B	
RELA:BATF	0.0455867	0.363163534	B	
USF1:TCF12	0.046613975	0.352439704	B	
PAX5:SIN3A	0.047420568	0.34416105	B	
ZEB1:NFIC	0.047821977	0.340087555	B	
YY1:MAX	0.0488026	0.330266285	B	
SPI1:TCF12	0.049633391	0.322090226	B	
ZEB1:MAX	0.050333277	0.315305465	B	
ZEB1:PAX5	0.051296312	0.306123736	B	
SIN3A:IKZF1	0.052673492	0.293303287	B	
ZNF143:MXI1	0.053324848	0.287366541	B	
USF1:RELA	0.053368288	0.286973506	B	
SIN3A:EGR1	0.054429485	0.277484239	B	
USF2:NFIC	0.055469281	0.268395081	B	
ZNF143:SIN3A	0.058163345	0.24580086	B	
PAX5:RELA	0.058922696	0.239679709	B	
ZEB1:BATF	0.060587426	0.226636974	B	
TCF3:REST	0.0610858	0.222832306	B	
BHLHE40:ELF1	0.062529668	0.212067284	B	
USF2:MEF2A	0.062966955	0.208882102	B	
ZNF143:MAX	0.065381894	0.191912517	B	
USF2:RELA	0.067397029	0.178543802	B	
EBF1:BCL3	0.068767722	0.169853189	B	
NFATC1:PAX5	0.069516158	0.165243248	B	
NFIC:NFYB	0.069913719	0.16283297	B	
ZNF143:RELA	0.070933292	0.156772489	B	
BATF:BCL3	0.072639547	0.147013704	B	
NFIC:MEF2A	0.074048824	0.139308236	B	
NFATC1:RUNX3	0.074543957	0.136675816	B	
MAX:MEF2A	0.076630404	0.126001302	B	
RELA:BHLHE40	0.077156067	0.123416743	B	
EBF1:IKZF1	0.077960936	0.119539539	B	
USF1:NFIC	0.078467466	0.117148654	B	
RELA:MAX	0.079746679	0.111277044	B	
SIN3A:MEF2A	0.079920125	0.11049906	B	
RUNX3:RELA	0.081678409	0.102851848	B	
ZNF143:SPI1	0.087646333	0.079978381	B	
TCF12:RELA	0.087939423	0.078970833	B	
USF1:USF2	0.089210942	0.074718243	B	
SIN3A:EBF1	0.094805655	0.058165545	B	
PAX5:MXI1	0.096434868	0.0539603	B	
REST:ELF1	0.098178355	0.049743303	B	
PAX5:IKZF1	0.098275627	0.049516376	B	
EGR1:MEF2A	0.104709817	0.036313436	B	
NFIC:MXI1	0.108440989	0.030125934	B	
PAX5:RUNX3	0.11637472	0.019905413	B	
YY1:BCL3	0.117920619	0.018311	B	
NFIC:RELA	0.129042644	0.009777894	B	
USF1:NFATC1	0.161186033	0.001217242	B	
USF2:TCF12	0.162216075	0.001130902	B	
ZNF143:ZEB1	0.165040585	0.00092225	B	
YY1:BATF	0.165536167	0.000889533	B	
EGR1:IKZF1	0.168360203	0.000722672	B	
NFATC1:MXI1	0.16863949	0.000707851	B	
