TF-Pair	Correlation	P-Value
SPI1:USF1	-0.07335708	0.143050846
USF1:SPI1	-0.07335708	0.143050846
IKZF1:RELA	-0.073517275	0.142177362
RELA:IKZF1	-0.073517275	0.142177362
BHLHE40:ZEB1	-0.075108514	0.133721141
ZEB1:BHLHE40	-0.075108514	0.133721141
MAX:SIN3A	-0.075444077	0.131988406
SIN3A:MAX	-0.075444077	0.131988406
EGR1:SPI1	-0.075534642	0.131523738
SPI1:EGR1	-0.075534642	0.131523738
MEF2A:TCF3	-0.075882026	0.129753115
TCF3:MEF2A	-0.075882026	0.129753115
MXI1:USF2	-0.079115269	0.114145639
USF2:MXI1	-0.079115269	0.114145639
RUNX3:ZNF143	-0.080768448	0.106755421
ZNF143:RUNX3	-0.080768448	0.106755421
EBF1:RUNX3	-0.081432368	0.103895992
RUNX3:EBF1	-0.081432368	0.103895992
TCF12:RUNX3	-0.083946295	0.093614424
RUNX3:TCF12	-0.083946295	0.093614424
MEF2A:MXI1	-0.086700003	0.083302792
MXI1:MEF2A	-0.086700003	0.083302792
IKZF1:ELF1	-0.089996781	0.072184503
ELF1:IKZF1	-0.089996781	0.072184503
BCL3:USF2	-0.090434876	0.070802686
USF2:BCL3	-0.090434876	0.070802686
ELF1:PAX5	-0.093828766	0.060814664
PAX5:ELF1	-0.093828766	0.060814664
EBF1:USF2	-0.094552615	0.058842398
USF2:EBF1	-0.094552615	0.058842398
EBF1:RELA	-0.123987678	0.013080297
RELA:EBF1	-0.123987678	0.013080297
