TF-Pair	Correlation	P-Value
MAX:BATF	0.031089599	0.53526044
BCL3:TCF3	0.030567267	0.542143652
TCF3:BCL3	0.030567267	0.542143652
ELF1:NFYB	0.030018482	0.549422512
NFYB:ELF1	0.030018482	0.549422512
EBF1:ELF1	0.029441998	0.557120106
ELF1:EBF1	0.029441998	0.557120106
RUNX3:USF1	0.029365798	0.558141486
USF1:RUNX3	0.029365798	0.558141486
PAX5:USF1	0.029339861	0.558489347
USF1:PAX5	0.029339861	0.558489347
IKZF1:TCF3	0.029241762	0.55980599
TCF3:IKZF1	0.029241762	0.55980599
BCL3:SIN3A	0.028595299	0.5685198
SIN3A:BCL3	0.028595299	0.5685198
EGR1:USF2	0.028546752	0.569176769
USF2:EGR1	0.028546752	0.569176769
ELF1:ZEB1	0.028214407	0.573683991
ZEB1:ELF1	0.028214407	0.573683991
TCF12:YY1	0.027472223	0.583809744
YY1:TCF12	0.027472223	0.583809744
USF2:YY1	0.026456438	0.597801149
YY1:USF2	0.026456438	0.597801149
EBF1:EGR1	0.025976153	0.604468996
EGR1:EBF1	0.025976153	0.604468996
EBF1:REST	0.025816081	0.606698665
REST:EBF1	0.025816081	0.606698665
NFYB:NFATC1	0.025638692	0.609173794
NFATC1:NFYB	0.025638692	0.609173794
USF1:ZNF143	0.025566041	0.610188792
ZNF143:USF1	0.025566041	0.610188792
MEF2A:IKZF1	0.025529807	0.610695302
IKZF1:MEF2A	0.025529807	0.610695302
USF2:ZEB1	0.025390479	0.612644651
ZEB1:USF2	0.025390479	0.612644651
REST:NFIC	0.025263069	0.614429635
NFIC:REST	0.025263069	0.614429635
BATF:TCF3	0.025062972	0.617237553
TCF3:BATF	0.025062972	0.617237553
BHLHE40:REST	0.024809376	0.620804241
REST:BHLHE40	0.024809376	0.620804241
EGR1:YY1	0.024731284	0.621904359
YY1:EGR1	0.024731284	0.621904359
SPI1:TCF3	0.024659399	0.622917767
TCF3:SPI1	0.024659399	0.622917767
EBF1:SPI1	0.024487344	0.625346251
SPI1:EBF1	0.024487344	0.625346251
NFYB:USF1	0.02420598	0.629326325
USF1:NFYB	0.02420598	0.629326325
TCF12:SIN3A	0.023873195	0.634047645
SIN3A:TCF12	0.023873195	0.634047645
ZEB1:YY1	0.023544557	0.638724732
YY1:ZEB1	0.023544557	0.638724732
BCL3:ZEB1	0.023344871	0.641573644
ZEB1:BCL3	0.023344871	0.641573644
RELA:TCF3	0.023110684	0.644921486
TCF3:RELA	0.023110684	0.644921486
ZEB1:TCF3	0.022920273	0.64764882
TCF3:ZEB1	0.022920273	0.64764882
BHLHE40:NFIC	0.02107953	0.674253211
NFIC:BHLHE40	0.02107953	0.674253211
RELA:NFYB	0.020594484	0.681333433
NFYB:RELA	0.020594484	0.681333433
REST:TCF12	0.020379886	0.684474908
TCF12:REST	0.020379886	0.684474908
SIN3A:USF2	0.019919466	0.691233282
USF2:SIN3A	0.019919466	0.691233282
EGR1:ZEB1	0.018834833	0.707250651
ZEB1:EGR1	0.018834833	0.707250651
ELF1:ZNF143	0.018243504	0.716038354
ZNF143:ELF1	0.018243504	0.716038354
RELA:YY1	0.017923888	0.720803887
YY1:RELA	0.017923888	0.720803887
MAX:NFATC1	0.017361583	0.729214144
NFATC1:MAX	0.017361583	0.729214144
EBF1:NFYB	0.016743977	0.738489028
NFYB:EBF1	0.016743977	0.738489028
BATF:PAX5	0.016475633	0.74253081
PAX5:BATF	0.016475633	0.74253081
TCF12:NFYB	0.015947129	0.750511735
NFYB:TCF12	0.015947129	0.750511735
NFYB:TCF3	0.015769865	0.753194618
TCF3:NFYB	0.015769865	0.753194618
IKZF1:MXI1	0.013867365	0.782169711
MXI1:IKZF1	0.013867365	0.782169711
USF1:TCF3	0.013328921	0.79042715
TCF3:USF1	0.013328921	0.79042715
TCF12:NFATC1	0.012855341	0.797709325
NFATC1:TCF12	0.012855341	0.797709325
BCL3:NFYB	0.012806917	0.798454927
NFYB:BCL3	0.012806917	0.798454927
EGR1:NFATC1	0.012450197	0.803953121
NFATC1:EGR1	0.012450197	0.803953121
NFIC:NFATC1	0.012406006	0.804634925
NFATC1:NFIC	0.012406006	0.804634925
NFIC:SPI1	0.012404469	0.804658642
SPI1:NFIC	0.012404469	0.804658642
TCF3:YY1	0.012156316	0.808490067
YY1:TCF3	0.012156316	0.808490067
MXI1:NFYB	0.01139462	0.820278651
NFYB:MXI1	0.01139462	0.820278651
MAX:TCF3	0.011061901	0.825440972
TCF3:MAX	0.011061901	0.825440972
ELF1:EGR1	0.010901411	0.827933748
EGR1:ELF1	0.010901411	0.827933748
RUNX3:NFIC	0.010331933	0.836792881
NFIC:RUNX3	0.010331933	0.836792881
MAX:SPI1	0.010119321	0.840105755
SPI1:MAX	0.010119321	0.840105755
TCF3:ZNF143	0.009570924	0.848663639
ZNF143:TCF3	0.009570924	0.848663639
MEF2A:BHLHE40	0.009112605	0.855829537
BHLHE40:MEF2A	0.009112605	0.855829537
NFYB:SPI1	0.008499979	0.865426478
SPI1:NFYB	0.008499979	0.865426478
USF1:YY1	0.008124798	0.871313641
YY1:USF1	0.008124798	0.871313641
RELA:ZEB1	0.007709168	0.877843812
ZEB1:RELA	0.007709168	0.877843812
REST:NFATC1	0.007555492	0.880260424
NFATC1:REST	0.007555492	0.880260424
MEF2A:BATF	0.007195115	0.885931783
BATF:MEF2A	0.007195115	0.885931783
BATF:NFYB	0.006669816	0.894208935
NFYB:BATF	0.006669816	0.894208935
BHLHE40:SPI1	0.005590066	0.911257679
SPI1:BHLHE40	0.005590066	0.911257679
MEF2A:EBF1	0.00493206	0.921667799
EBF1:MEF2A	0.00493206	0.921667799
REST:USF2	0.00484903	0.92298238
USF2:REST	0.00484903	0.92298238
EGR1:NFIC	0.004734638	0.924793833
NFIC:EGR1	0.004734638	0.924793833
IKZF1:USF2	0.004692898	0.925454918
USF2:IKZF1	0.004692898	0.925454918
TCF12:TCF3	0.00430164	0.931654056
TCF3:TCF12	0.00430164	0.931654056
ELF1:RUNX3	0.004114756	0.934616554
RUNX3:ELF1	0.004114756	0.934616554
MEF2A:TCF12	0.002884909	0.954132773
TCF12:MEF2A	0.002884909	0.954132773
NFIC:YY1	0.002863031	0.954480241
YY1:NFIC	0.002863031	0.954480241
MEF2A:PAX5	0.002572891	0.959088967
PAX5:MEF2A	0.002572891	0.959088967
MAX:USF2	0.002115942	0.966350067
USF2:MAX	0.002115942	0.966350067
RUNX3:SIN3A	0.001855386	0.97049168
SIN3A:RUNX3	0.001855386	0.97049168
NFYB:USF2	0.001580751	0.974857955
USF2:NFYB	0.001580751	0.974857955
MEF2A:YY1	0.001553399	0.975292847
YY1:MEF2A	0.001553399	0.975292847
PAX5:TCF3	0.001229584	0.980442036
TCF3:PAX5	0.001229584	0.980442036
MEF2A:ZEB1	0.001198218	0.980940859
ZEB1:MEF2A	0.001198218	0.980940859
BATF:EBF1	-0.000171704	0.997268579
EBF1:BATF	-0.000171704	0.997268579
NFATC1:TCF3	-0.000264148	0.995798015
TCF3:NFATC1	-0.000264148	0.995798015
EGR1:RUNX3	-0.000453941	0.992778913
RUNX3:EGR1	-0.000453941	0.992778913
EBF1:TCF12	-0.001142369	0.981829039
TCF12:EBF1	-0.001142369	0.981829039
BATF:MXI1	-0.002776592	0.955853136
MXI1:BATF	-0.002776592	0.955853136
NFATC1:SPI1	-0.002973877	0.952719903
SPI1:NFATC1	-0.002973877	0.952719903
BATF:TCF12	-0.003186748	0.949339962
TCF12:BATF	-0.003186748	0.949339962
EBF1:USF1	-0.003386001	0.946177072
USF1:EBF1	-0.003386001	0.946177072
BATF:NFATC1	-0.003725463	0.940790501
NFATC1:BATF	-0.003725463	0.940790501
EBF1:PAX5	-0.004301737	0.931652519
PAX5:EBF1	-0.004301737	0.931652519
NFIC:PAX5	-0.004474862	0.928908968
PAX5:NFIC	-0.004474862	0.928908968
MEF2A:BCL3	-0.00490921	0.922029548
BCL3:MEF2A	-0.00490921	0.922029548
BHLHE40:NFATC1	-0.004983145	0.92085909
NFATC1:BHLHE40	-0.004983145	0.92085909
MEF2A:RELA	-0.005042677	0.919916773
RELA:MEF2A	-0.005042677	0.919916773
REST:ZNF143	-0.00550972	0.912528029
ZNF143:REST	-0.00550972	0.912528029
SPI1:ZEB1	-0.005988797	0.904956738
ZEB1:SPI1	-0.005988797	0.904956738
RUNX3:SPI1	-0.006038098	0.904178061
SPI1:RUNX3	-0.006038098	0.904178061
EGR1:USF1	-0.006262158	0.90064037
USF1:EGR1	-0.006262158	0.90064037
BCL3:TCF12	-0.006816998	0.891888578
TCF12:BCL3	-0.006816998	0.891888578
EBF1:TCF3	-0.007513741	0.88091717
TCF3:EBF1	-0.007513741	0.88091717
SIN3A:YY1	-0.007791593	0.876548121
YY1:SIN3A	-0.007791593	0.876548121
MEF2A:NFYB	-0.008240084	0.869503859
NFYB:MEF2A	-0.008240084	0.869503859
ELF1:RELA	-0.008720397	0.861971219
RELA:ELF1	-0.008720397	0.861971219
MXI1:REST	-0.008981308	0.8578846
REST:MXI1	-0.008981308	0.8578846
SIN3A:SPI1	-0.009111849	0.855841366
SPI1:SIN3A	-0.009111849	0.855841366
BCL3:NFATC1	-0.009143149	0.855351595
NFATC1:BCL3	-0.009143149	0.855351595
TCF12:ZEB1	-0.009397621	0.851371831
ZEB1:TCF12	-0.009397621	0.851371831
IKZF1:NFATC1	-0.009699136	0.846661216
NFATC1:IKZF1	-0.009699136	0.846661216
ELF1:TCF12	-0.010005263	0.841884134
TCF12:ELF1	-0.010005263	0.841884134
NFYB:ZNF143	-0.01002816	0.841527067
ZNF143:NFYB	-0.01002816	0.841527067
MAX:RUNX3	-0.010542749	0.833510835
RUNX3:MAX	-0.010542749	0.833510835
EGR1:PAX5	-0.011084283	0.825093456
PAX5:EGR1	-0.011084283	0.825093456
